Vaccine type,Town,Vaccine coverage
אבעבועות רוח-VAR,ראם,35%
אבעבועות רוח-VAR,עומר,77%
אבעבועות רוח-VAR,ירכא,93%
אבעבועות רוח-VAR,אבו ג'ווייעד (שבט),83%
אבעבועות רוח-VAR,פרדסיה,75%
אבעבועות רוח-VAR,פוריידיס,92%
אבעבועות רוח-VAR,אעצם (שבט),89%
אבעבועות רוח-VAR,רמת ישי,77%
אבעבועות רוח-VAR,ראמאללה,55%
אבעבועות רוח-VAR,עין נקובא,82%
אבעבועות רוח-VAR,ברכה,72%
אבעבועות רוח-VAR,אטרש (שבט),75%
אבעבועות רוח-VAR,כאבול,92%
אבעבועות רוח-VAR,אום בטין,79%
אבעבועות רוח-VAR,אבו סנאן,94%
אבעבועות רוח-VAR,אבו רוקייק (שבט),91%
אבעבועות רוח-VAR,דאלית אל-כרמל,95%
אבעבועות רוח-VAR,בית דגן,78%
אבעבועות רוח-VAR,נוקדים,77%
אבעבועות רוח-VAR,בית לחם,68%
אבעבועות רוח-VAR,כליל,32%
אבעבועות רוח-VAR,זמר,87%
אבעבועות רוח-VAR,אעבלין,95%
אבעבועות רוח-VAR,בית אריה,67%
אבעבועות רוח-VAR,עילוט,95%
אבעבועות רוח-VAR,כפר ורדים,70%
אבעבועות רוח-VAR,בועיינה-נוג'ידאת,93%
אבעבועות רוח-VAR,איתמר,60%
אבעבועות רוח-VAR,עספיא,89%
אבעבועות רוח-VAR,מצפה יריחו,78%
אבעבועות רוח-VAR,אבו קורינאת (שבט),82%
אבעבועות רוח-VAR,בית ג'אלא,85%
אבעבועות רוח-VAR,דייר חנא,93%
אבעבועות רוח-VAR,סוסיה,57%
אבעבועות רוח-VAR,קדומים,73%
אבעבועות רוח-VAR,כסרא-סמיע,90%
אבעבועות רוח-VAR,זרזיר,91%
אבעבועות רוח-VAR,תפרח,72%
אבעבועות רוח-VAR,כפר אדומים,76%
אבעבועות רוח-VAR,דבוריה,93%
אבעבועות רוח-VAR,אלון שבות,75%
אבעבועות רוח-VAR,עלי זהב,80%
אבעבועות רוח-VAR,כפר יאסיף,94%
אבעבועות רוח-VAR,כפר ברא,91%
אבעבועות רוח-VAR,קציר,67%
אבעבועות רוח-VAR,אליכין,60%
אבעבועות רוח-VAR,שלומי,81%
אבעבועות רוח-VAR,אלקנה,75%
אבעבועות רוח-VAR,ביר אל-מכסור,93%
אבעבועות רוח-VAR,אספר,61%
אבעבועות רוח-VAR,אלון מורה,76%
אבעבועות רוח-VAR,אל סייד,88%
אבעבועות רוח-VAR,צור יצחק,81%
אבעבועות רוח-VAR,סביון,78%
אבעבועות רוח-VAR,בסמת טבעון,90%
אבעבועות רוח-VAR,להבים,81%
אבעבועות רוח-VAR,משהד,94%
אבעבועות רוח-VAR,ברקת,57%
אבעבועות רוח-VAR,ראש פינה,60%
אבעבועות רוח-VAR,חשמונאים,75%
אבעבועות רוח-VAR,אבו דיס,29%
אבעבועות רוח-VAR,אל בירה,60%
אבעבועות רוח-VAR,אבני חפץ,71%
אבעבועות רוח-VAR,כפר תפוח,68%
אבעבועות רוח-VAR,בית ג'ן,93%
אבעבועות רוח-VAR,אבו תלול,78%
אבעבועות רוח-VAR,עפרה,82%
אבעבועות רוח-VAR,שעב,93%
אבעבועות רוח-VAR,קודייראת א-צאנע(שבט),79%
אבעבועות רוח-VAR,בענה,93%
אבעבועות רוח-VAR,ראמה,90%
אבעבועות רוח-VAR,טובא-זנגריה,90%
אבעבועות רוח-VAR,הרדוף,24%
אבעבועות רוח-VAR,אור הגנוז,13%
אבעבועות רוח-VAR,מירון,51%
אבעבועות רוח-VAR,שבלי - אום אל-גנם,91%
אבעבועות רוח-VAR,רבבה,81%
אבעבועות רוח-VAR,יקיר,80%
אבעבועות רוח-VAR,אחיעזר,53%
אבעבועות רוח-VAR,מעלה עמוס,75%
אבעבועות רוח-VAR,מג'דל שמס,92%
אבעבועות רוח-VAR,בת חפר,87%
אבעבועות רוח-VAR,יודפת,39%
אבעבועות רוח-VAR,נווה דניאל,71%
אבעבועות רוח-VAR,בית אלפא,90%
אבעבועות רוח-VAR,כפר תבור,77%
אבעבועות רוח-VAR,כפר שמריהו,71%
אבעבועות רוח-VAR,שבי שומרון,58%
אבעבועות רוח-VAR,קצר א-סר,87%
אבעבועות רוח-VAR,מוקייבלה,92%
אבעבועות רוח-VAR,ברוכין,82%
אבעבועות רוח-VAR,הררית,50%
אבעבועות רוח-VAR,בית קשת,50%
אבעבועות רוח-VAR,מבוא דותן,45%
אבעבועות רוח-VAR,אמירים,50%
אבעבועות רוח-VAR,כעביה-טבאש-חג'אג'רה,94%
אבעבועות רוח-VAR,צופים,73%
אבעבועות רוח-VAR,בית חנינא,46%
אבעבועות רוח-VAR,מטולה,72%
אבעבועות רוח-VAR,חיננית,78%
אבעבועות רוח-VAR,מעלה אפרים,68%
אבעבועות רוח-VAR,פסגות,81%
אבעבועות רוח-VAR,מולדה,79%
אבעבועות רוח-VAR,מרכז שפירא,83%
אבעבועות רוח-VAR,חוקוק,80%
אבעבועות רוח-VAR,אלעזר,75%
אבעבועות רוח-VAR,כפר שמאי,35%
אבעבועות רוח-VAR,מעון,43%
אבעבועות רוח-VAR,מכמורת,67%
אבעבועות רוח-VAR,ג'ולס,92%
אבעבועות רוח-VAR,רותם,8%
אבעבועות רוח-VAR,כפר כמא,80%
אבעבועות רוח-VAR,בר יוחאי,63%
אבעבועות רוח-VAR,יסוד המעלה,71%
אבעבועות רוח-VAR,שכם,70%
אבעבועות רוח-VAR,שובה,47%
אבעבועות רוח-VAR,מבוא חורון,78%
אבעבועות רוח-VAR,יריחו,77%
אבעבועות רוח-VAR,שער שומרון,86%
אבעבועות רוח-VAR,מעלה מכמש,84%
אבעבועות רוח-VAR,חורפיש,93%
אבעבועות רוח-VAR,הר אדר,86%
אבעבועות רוח-VAR,סעיר,67%
אבעבועות רוח-VAR,סואחרה,33%
אבעבועות רוח-VAR,ניצן,78%
אבעבועות רוח-VAR,מזרעה,89%
אבעבועות רוח-VAR,יאנוח-ג'ת,93%
אבעבועות רוח-VAR,פדואל,67%
אבעבועות רוח-VAR,עיילבון,91%
אבעבועות רוח-VAR,נווה,62%
אבעבועות רוח-VAR,צבעון,33%
אבעבועות רוח-VAR,ענב,66%
אבעבועות רוח-VAR,נוף איילון,82%
אבעבועות רוח-VAR,סלמה,95%
אבעבועות רוח-VAR,דולב,78%
אבעבועות רוח-VAR,קלקליה,83%
אבעבועות רוח-VAR,צור משה,78%
אבעבועות רוח-VAR,איבים,74%
אבעבועות רוח-VAR,בוקעאתא,94%
אבעבועות רוח-VAR,עתניאל,54%
אבעבועות רוח-VAR,עוזייר,93%
אבעבועות רוח-VAR,מעגן מיכאל,87%
אבעבועות רוח-VAR,מגדל,76%
אבעבועות רוח-VAR,גן נר,82%
אבעבועות רוח-VAR,בית יצחק-שער חפר,86%
אבעבועות רוח-VAR,סאג'ור,89%
אבעבועות רוח-VAR,נחליאל,55%
אבעבועות רוח-VAR,מטע,69%
אבעבועות רוח-VAR,כרמי יוסף,84%
אבעבועות רוח-VAR,ג'נאביב (שבט),71%
אבעבועות רוח-VAR,בית רבן,68%
אבעבועות רוח-VAR,ביריה,46%
אבעבועות רוח-VAR,ע'ג'ר,93%
אבעבועות רוח-VAR,נופים,70%
אבעבועות רוח-VAR,טירת צבי,56%
אבעבועות רוח-VAR,גבעון החדשה,72%
אבעבועות רוח-VAR,שבי ציון,67%
אבעבועות רוח-VAR,אבני איתן,72%
אבעבועות רוח-VAR,מתן,83%
אבעבועות רוח-VAR,חספין,86%
אבעבועות רוח-VAR,תראבין א-צאנע (שבט),80%
אבעבועות רוח-VAR,שפר,56%
אבעבועות רוח-VAR,נעלה,79%
אבעבועות רוח-VAR,רחלים,76%
אבעבועות רוח-VAR,באר גנים,78%
אבעבועות רוח-VAR,בני דקלים,82%
אבעבועות רוח-VAR,רשפון,72%
אבעבועות רוח-VAR,סולם,97%
אבעבועות רוח-VAR,אלומה,81%
אבעבועות רוח-VAR,אבטין,91%
אבעבועות רוח-VAR,קשת,71%
אבעבועות רוח-VAR,נורדיה,80%
אבעבועות רוח-VAR,מעלה לבונה,72%
אבעבועות רוח-VAR,מכחול,84%
אבעבועות רוח-VAR,בית חלקיה,75%
אבעבועות רוח-VAR,פני חבר,57%
אבעבועות רוח-VAR,מדרשת בן גוריון,67%
אבעבועות רוח-VAR,כפר פינס,65%
אבעבועות רוח-VAR,אליקים,60%
אבעבועות רוח-VAR,אחוזת ברק,81%
אבעבועות רוח-VAR,אביחיל,74%
אבעבועות רוח-VAR,כאוכב אבו אל-היג'א,95%
אבעבועות רוח-VAR,בית זית,79%
אבעבועות רוח-VAR,טול כרם,87%
אבעבועות רוח-VAR,מעיליא,90%
אבעבועות רוח-VAR,יושיביה,74%
אבעבועות רוח-VAR,דורא,69%
אבעבועות רוח-VAR,ברקן,90%
אבעבועות רוח-VAR,מנחמיה,83%
אבעבועות רוח-VAR,אורה,62%
אבעבועות רוח-VAR,שייח' דנון,93%
אבעבועות רוח-VAR,שדה נחמיה,81%
אבעבועות רוח-VAR,מאור,78%
אבעבועות רוח-VAR,יאטה,85%
אבעבועות רוח-VAR,אבן שמואל,73%
אבעבועות רוח-VAR,שתולים,82%
אבעבועות רוח-VAR,קדר,80%
אבעבועות רוח-VAR,מייסר,92%
אבעבועות רוח-VAR,"כרם מהר""ל",65%
אבעבועות רוח-VAR,כפר חושן,65%
אבעבועות רוח-VAR,טל שחר,79%
אבעבועות רוח-VAR,הושעיה,65%
אבעבועות רוח-VAR,הגושרים,83%
אבעבועות רוח-VAR,בני יהודה,50%
אבעבועות רוח-VAR,שמעה,83%
אבעבועות רוח-VAR,ספיר,70%
אבעבועות רוח-VAR,נטע,71%
אבעבועות רוח-VAR,נחלים,77%
אבעבועות רוח-VAR,מתתיהו,77%
אבעבועות רוח-VAR,מעגלים,77%
אבעבועות רוח-VAR,קבועה (שבט),78%
אבעבועות רוח-VAR,נחושה,55%
אבעבועות רוח-VAR,גבעת ברנר,82%
אבעבועות רוח-VAR,פורת,78%
אבעבועות רוח-VAR,עולש,69%
אבעבועות רוח-VAR,מרחב עם,53%
אבעבועות רוח-VAR,שדה ורבורג,76%
אבעבועות רוח-VAR,צוקים,56%
אבעבועות רוח-VAR,עין יעקב,77%
אבעבועות רוח-VAR,מורשת,75%
אבעבועות רוח-VAR,חזמא,50%
אבעבועות רוח-VAR,בית יהושע,67%
אבעבועות רוח-VAR,אבירים,38%
אבעבועות רוח-VAR,שדה אליעזר,71%
אבעבועות רוח-VAR,רמות השבים,80%
אבעבועות רוח-VAR,מוצא עילית,88%
אבעבועות רוח-VAR,כפר ויתקין,77%
אבעבועות רוח-VAR,אביאל,70%
אבעבועות רוח-VAR,גבעת אלה,81%
אבעבועות רוח-VAR,גבעת אבני,84%
אבעבועות רוח-VAR,בני נצרים,60%
אבעבועות רוח-VAR,רומת הייב,89%
אבעבועות רוח-VAR,עין ראפה,80%
אבעבועות רוח-VAR,ניין,87%
אבעבועות רוח-VAR,אחיהוד,70%
אבעבועות רוח-VAR,שדות ים,80%
אבעבועות רוח-VAR,קלנדיה,50%
אבעבועות רוח-VAR,יונתן,57%
אבעבועות רוח-VAR,חרשים,33%
אבעבועות רוח-VAR,בית סאחור,80%
אבעבועות רוח-VAR,בית השיטה,94%
אבעבועות רוח-VAR,סלעית,88%
אבעבועות רוח-VAR,נווה ימין,61%
אבעבועות רוח-VAR,נוב,74%
אבעבועות רוח-VAR,הזורע,64%
אבעבועות רוח-VAR,דאהריה,94%
אבעבועות רוח-VAR,קדרון,72%
אבעבועות רוח-VAR,עין הוד,40%
אבעבועות רוח-VAR,בית הלל,59%
אבעבועות רוח-VAR,תמרת,82%
אבעבועות רוח-VAR,שדה אליהו,81%
אבעבועות רוח-VAR,צנדלה,95%
אבעבועות רוח-VAR,לא ידוע,57%
אבעבועות רוח-VAR,כפר אוריה,82%
אבעבועות רוח-VAR,יגור,89%
אבעבועות רוח-VAR,גני טל,71%
אבעבועות רוח-VAR,שער אפרים,76%
אבעבועות רוח-VAR,שעלבים,73%
אבעבועות רוח-VAR,צרופה,68%
אבעבועות רוח-VAR,עין איילה,61%
אבעבועות רוח-VAR,מצפה נטופה,81%
אבעבועות רוח-VAR,מבועים,76%
אבעבועות רוח-VAR,טירת יהודה,66%
אבעבועות רוח-VAR,זיקים,69%
אבעבועות רוח-VAR,"כפר הרא""ה",81%
אבעבועות רוח-VAR,חצב,67%
אבעבועות רוח-VAR,גאולים,63%
אבעבועות רוח-VAR,אפיקים,88%
אבעבועות רוח-VAR,אודים,79%
אבעבועות רוח-VAR,שפיים,78%
אבעבועות רוח-VAR,ראש צורים,82%
אבעבועות רוח-VAR,פוריה - נווה עובד,78%
אבעבועות רוח-VAR,מחולה,75%
אבעבועות רוח-VAR,כרמי צור,81%
אבעבועות רוח-VAR,ישרש,75%
אבעבועות רוח-VAR,חופית,74%
אבעבועות רוח-VAR,שיח' סעיד,75%
אבעבועות רוח-VAR,רמת רזיאל,60%
אבעבועות רוח-VAR,סמוע,100%
אבעבועות רוח-VAR,"ניל""י",85%
אבעבועות רוח-VAR,כפר סאלד,55%
אבעבועות רוח-VAR,הזורעים,70%
אבעבועות רוח-VAR,גבעת חיים (איחוד),92%
אבעבועות רוח-VAR,בני ראם,76%
אבעבועות רוח-VAR,שדה עוזיהו,82%
אבעבועות רוח-VAR,רבדים,67%
אבעבועות רוח-VAR,כפר מצר,94%
אבעבועות רוח-VAR,כמון,50%
אבעבועות רוח-VAR,כדיתה,33%
אבעבועות רוח-VAR,חולתה,67%
אבעבועות רוח-VAR,שדמות מחולה,64%
אבעבועות רוח-VAR,ציפורי,82%
אבעבועות רוח-VAR,משכיות,53%
אבעבועות רוח-VAR,מיצר,55%
אבעבועות רוח-VAR,מגדלים,75%
אבעבועות רוח-VAR,ישעי,55%
אבעבועות רוח-VAR,טנא,86%
אבעבועות רוח-VAR,חיבת ציון,79%
אבעבועות רוח-VAR,חגי,94%
אבעבועות רוח-VAR,ברכיה,82%
אבעבועות רוח-VAR,בוסתן הגליל,87%
אבעבועות רוח-VAR,נופית,84%
אבעבועות רוח-VAR,כפר מנחם,75%
אבעבועות רוח-VAR,"ייט""ב",59%
אבעבועות רוח-VAR,גבע כרמל,78%
אבעבועות רוח-VAR,רמות מנשה,79%
אבעבועות רוח-VAR,חד-נס,68%
אבעבועות רוח-VAR,דלתון,80%
אבעבועות רוח-VAR,אלון הגליל,60%
אבעבועות רוח-VAR,שילת,60%
אבעבועות רוח-VAR,עין יהב,68%
אבעבועות רוח-VAR,עופר,54%
אבעבועות רוח-VAR,עדי,79%
אבעבועות רוח-VAR,נהלל,69%
אבעבועות רוח-VAR,נאות גולן,73%
אבעבועות רוח-VAR,כפר הנשיא,35%
אבעבועות רוח-VAR,גילת,70%
אבעבועות רוח-VAR,בית אורן,65%
אבעבועות רוח-VAR,איילת השחר,60%
אבעבועות רוח-VAR,שקד,78%
אבעבועות רוח-VAR,פסוטה,92%
אבעבועות רוח-VAR,פוריה עילית,78%
אבעבועות רוח-VAR,מסעדה,93%
אבעבועות רוח-VAR,מנשית זבדה,94%
אבעבועות רוח-VAR,"יד רמב""ם",81%
אבעבועות רוח-VAR,דריג'את,85%
אבעבועות רוח-VAR,בית מאיר,50%
אבעבועות רוח-VAR,אשתאול,79%
אבעבועות רוח-VAR,אניעם,50%
אבעבועות רוח-VAR,שדי חמד,71%
אבעבועות רוח-VAR,עין ורד,83%
אבעבועות רוח-VAR,עין דור,79%
אבעבועות רוח-VAR,ניר משה,85%
אבעבועות רוח-VAR,כפר בלום,73%
אבעבועות רוח-VAR,ינון,78%
אבעבועות רוח-VAR,חגלה,39%
אבעבועות רוח-VAR,הבונים,60%
אבעבועות רוח-VAR,גן יאשיה,69%
אבעבועות רוח-VAR,בת שלמה,63%
אבעבועות רוח-VAR,בית זרע,77%
אבעבועות רוח-VAR,אשחר,73%
אבעבועות רוח-VAR,תראבין א-צאנע,76%
אבעבועות רוח-VAR,שומריה,76%
אבעבועות רוח-VAR,עזריקם,85%
אבעבועות רוח-VAR,סעד,74%
אבעבועות רוח-VAR,נס הרים,89%
אבעבועות רוח-VAR,נירית,83%
אבעבועות רוח-VAR,נגוהות,82%
אבעבועות רוח-VAR,מתת,29%
אבעבועות רוח-VAR,מגדל עוז,76%
אבעבועות רוח-VAR,יתד,44%
אבעבועות רוח-VAR,יקנעם (מושבה),81%
אבעבועות רוח-VAR,יכיני,43%
אבעבועות רוח-VAR,חנתון,77%
אבעבועות רוח-VAR,געש,86%
אבעבועות רוח-VAR,בית חשמונאי,79%
אבעבועות רוח-VAR,שלומית,57%
אבעבועות רוח-VAR,רשפים,79%
אבעבועות רוח-VAR,קטנה,33%
אבעבועות רוח-VAR,עין הבשור,70%
אבעבועות רוח-VAR,מפלסים,79%
אבעבועות רוח-VAR,מגן שאול,69%
אבעבועות רוח-VAR,להבות הבשן,59%
אבעבועות רוח-VAR,כפר מונש,80%
אבעבועות רוח-VAR,כפר יחזקאל,83%
אבעבועות רוח-VAR,כפר זיתים,71%
אבעבועות רוח-VAR,גן השומרון,89%
אבעבועות רוח-VAR,ג'יב,0%
אבעבועות רוח-VAR,בני ציון,83%
אבעבועות רוח-VAR,בית הלוי,60%
אבעבועות רוח-VAR,באר אורה,47%
אבעבועות רוח-VAR,אלי-עד,60%
אבעבועות רוח-VAR,שמיר,85%
אבעבועות רוח-VAR,רוחמה,71%
אבעבועות רוח-VAR,צפריה,77%
אבעבועות רוח-VAR,צביה,80%
אבעבועות רוח-VAR,עמינדב,72%
אבעבועות רוח-VAR,עברון,90%
אבעבועות רוח-VAR,מעש,82%
אבעבועות רוח-VAR,מבואות יריחו,64%
אבעבועות רוח-VAR,לפיד,83%
אבעבועות רוח-VAR,לוזית,61%
אבעבועות רוח-VAR,כרם בן זמרה,61%
אבעבועות רוח-VAR,כפר עציון,72%
אבעבועות רוח-VAR,זמרת,72%
אבעבועות רוח-VAR,גיתה,67%
אבעבועות רוח-VAR,בצרה,67%
אבעבועות רוח-VAR,בן עמי,74%
אבעבועות רוח-VAR,רמת מגשימים,77%
אבעבועות רוח-VAR,נצר חזני,68%
אבעבועות רוח-VAR,ניר עקיבא,61%
אבעבועות רוח-VAR,משמר הנגב,84%
אבעבועות רוח-VAR,מרחביה (קיבוץ),84%
אבעבועות רוח-VAR,מעלה גלבוע,85%
אבעבועות רוח-VAR,מולדת,50%
אבעבועות רוח-VAR,מבוא ביתר,66%
אבעבועות רוח-VAR,לוטם,92%
אבעבועות רוח-VAR,כפר רופין,100%
אבעבועות רוח-VAR,כפר סירקין,70%
אבעבועות רוח-VAR,כפר הס,92%
אבעבועות רוח-VAR,יפתח,85%
אבעבועות רוח-VAR,חלחול,63%
אבעבועות רוח-VAR,גמזו,87%
אבעבועות רוח-VAR,בצת,70%
אבעבועות רוח-VAR,אלישמע,78%
אבעבועות רוח-VAR,אור הנר,79%
אבעבועות רוח-VAR,תלמי אלעזר,83%
אבעבועות רוח-VAR,שתולה,67%
אבעבועות רוח-VAR,רמת יוחנן,77%
אבעבועות רוח-VAR,קלע,67%
אבעבועות רוח-VAR,עמיקם,69%
אבעבועות רוח-VAR,נען,87%
אבעבועות רוח-VAR,ניר עציון,76%
אבעבועות רוח-VAR,מעלה גמלא,68%
אבעבועות רוח-VAR,כפר הנגיד,79%
אבעבועות רוח-VAR,ירחיב,75%
אבעבועות רוח-VAR,חרוצים,67%
אבעבועות רוח-VAR,חמד,73%
אבעבועות רוח-VAR,הילה,50%
אבעבועות רוח-VAR,החותרים,84%
אבעבועות רוח-VAR,דפנה,79%
אבעבועות רוח-VAR,גינתון,70%
אבעבועות רוח-VAR,גבעת יערים,90%
אבעבועות רוח-VAR,בר גיורא,77%
אבעבועות רוח-VAR,בית רימון,83%
אבעבועות רוח-VAR,בארותיים,76%
אבעבועות רוח-VAR,רמת הכובש,85%
אבעבועות רוח-VAR,רביבים,69%
אבעבועות רוח-VAR,קדמת צבי,68%
